"ID","Model","Classification","ObsNoise","ProcessNoise","TSlength","SimNumber","E","tau","theta","R2","modelform","LEmean","LEmin","LEreg","LEreg_se","Classification2","LEregmin","LEregclass","LEclass"
90,"NPZ","chaotic",0.2,1,100,"Sim.1",1,1,1.5,0.0462344371748058,"ut-ut",-1.04395514573189,-1.0607507092077,0.947330845532794,0.414179349470405,"chaotic",0.1355393205708,"chaotic","not chaotic"
91,"NPZ","chaotic",0.2,2,100,"Sim.1",4,2,4,0.0910734240665102,"ut-ut",-0.0158039208098575,-0.0233437360714832,0.163815147397237,0.170416592121191,"chaotic",-0.170201373160298,"not chaotic","not chaotic"
92,"NPZ","chaotic",0.2,3,100,"Sim.1",2,4,1,0.0505637201085272,"ut-ut",-0.108028435779776,-0.108566150368141,0.444591956014802,0.315244752022594,"chaotic",-0.173287757949484,"not chaotic","not chaotic"
93,"NPZ","chaotic",0.3,0,100,"Sim.1",1,1,0.5,0.0100018447027563,"ut-ut",-1.36790720894954,-1.38550289980903,0.890383069016602,0.494198245519138,"chaotic",-0.0782454922009093,"not chaotic","not chaotic"
94,"NPZ","chaotic",0.3,1,100,"Sim.1",4,5,1.5,0.043997386157285,"ut-ut",-0.0204169970498258,-0.0232200450205241,0.29448378146193,0.167733396738019,"chaotic",-0.0342736761445873,"not chaotic","not chaotic"
95,"NPZ","chaotic",0.3,2,100,"Sim.1",1,2,8,0.144295358847557,"gr-log",0.0904616771304112,0.0848042519857781,0.890649441172065,0.506339336531298,"chaotic",-0.101775658429278,"not chaotic","chaotic"
96,"NPZ","chaotic",0.3,3,100,"Sim.1",4,5,0,0.0807834462284275,"ut-ut",-0.0221445092682214,-0.0222536616324761,0.268646459076575,0.142942240552605,"chaotic",-0.0115203324065309,"not chaotic","not chaotic"
1,"SeasonalPredatorPrey","periodic",0.01,0,100,"Sim.2",4,1,0,0.999998466805235,"gr-ut",0.0145743138673734,-0.00472193519340943,0.293700972534153,0.0401673590081295,"not chaotic",0.214972948878219,"chaotic","not chaotic"
2,"SeasonalPredatorPrey","periodic",0.01,1,100,"Sim.2",4,1,3,0.98681381596148,"gr-ut",-0.209395988734483,-0.227553175905818,0.408664693054144,0.031433468373957,"not chaotic",0.347055095041189,"chaotic","not chaotic"
3,"SeasonalPredatorPrey","periodic",0.01,2,100,"Sim.2",2,1,4,0.950834498732253,"gr-log",-0.327500158150951,-0.357327874134561,0.468973451134694,0.0827569402238918,"not chaotic",0.306769848295867,"chaotic","not chaotic"
