MainID,TaxonID,TaxonName,CommonName,TaxonomicPhylum,TaxonomicClass,TaxonomicOrder,Biome,Mass_g,Length_mm,MinAge_mo,Lifespan_mo,Fertility,TrL,Notes,Size_other,GT_other
9518,11947,Neocatolaccus mamezophagus,Parasitoid wasp,Arthropoda,Insecta,Hymenoptera,Terrestrial,0.0005,2,0.4,1,36.1,3,scaled estimation for mass,,
9519,11948,Heterospilus prosopidis,Braconid wasp,Arthropoda,Insecta,Hymenoptera,Terrestrial,0.0008,2.3,1.8,2.6,200,3,"Kobayashi, A., Tanaka, Y., & Shimada, M. (2003). Genetic variation of sex allocation in the parasitoid wasp Heterospilus prosopidis. Evolution, 57(11), 2659-2664.",,
9586,46,Dendrolimus pini,Pine-tree lappet,Arthropoda,Insecta,Lepidoptera,Terrestrial,0.6291,44,8,10,450,3,Anderson Gilooly 2017,,
9598,398,Unknown Insect sp296,Hawkmoth,Arthropoda,Insecta,Lepidoptera,Terrestrial,NA,NA,NA,NA,NA,NA,,,
9612,44,Panolis flammea,Pine beauty,Arthropoda,Insecta,Lepidoptera,Terrestrial,0.1452,20,8,11,520,3,Anderson Gilooly 2017,,
9643,11983,Dendroctonus frontalis,Southern pine beetle,Arthropoda,Insecta,Coleoptera,Terrestrial,0.0018,4,2,24,25,3,Anderson Gilooly 2017,,
9646,11901,Lymantria dispar,Gypsy moth,Arthropoda,Insecta,Lepidoptera,Terrestrial,0.765,35,2,6,400,3,Anderson Gilooly 2017,,
9688,44,Panolis flammea,Pine beauty,Arthropoda,Insecta,Lepidoptera,Terrestrial,0.1452,20,8,11,520,3,Anderson Gilooly 2017,,
9689,45,Hyloicus pinastri,Pine hawkmoth,Arthropoda,Insecta,Lepidoptera,Terrestrial,0.52,63,8,10,1100,3,"Sphinx pinastri, Casey, T. M. (1976). Flight energetics of sphinx moths: power input during hovering flight. Journal of Experimental Biology, 64(3), 529-543.",,
9690,46,Dendrolimus pini,Pine-tree lappet,Arthropoda,Insecta,Lepidoptera,Terrestrial,0.6291,44,8,10,450,3,Anderson Gilooly 2017,,
9691,47,Bupalus piniaria,Pine looper or Bordered white,Arthropoda,Insecta,Lepidoptera,Terrestrial,0.0648,15,8,10,550,3,Anderson Gilooly 2017,,
9791,50,Apodemus sylvaticus,Wood mouse,Chordata,Mammalia,Rodentia,Terrestrial,23,212,2,18,36,4,,,
9792,51,Clethrionomys glareolus,Bank vole,Chordata,Mammalia,Rodentia,Terrestrial,22,133,4,24,18,4,,,
9793,12055,Pterocles namaqua,Namaqua sandgrouse,Chordata,Aves,Pteroclidiformes,Terrestrial,177,280,12,60,4,3,,,
9794,11192,Tetrao urogallus,Western capercaillie or Wood grouse,Chordata,Aves,Galliformes,Terrestrial,2950,900,10,120,8,3,,,
9795,411,Tetrao tetrix,Black grouse,Chordata,Aves,Galliformes,Terrestrial,1083,500,14,60,8,4,,,
9796,1,Bonasa bonasia,Hazel grouse,Chordata,Aves,Galliformes,Terrestrial,429,375,10,60,8,3,,,
9797,11191,Lagopus lagopus,Willow grouse,Chordata,Aves,Galliformes,Terrestrial,550,390,10,84,7,3,,,
9833,81,Myocastor coypus,Nutria or Coypu,Chordata,Mammalia,Rodentia,Terrestrial,8000,896,8,72,6,3,,,
